trade_date_year_mo,delivery_year_mo,weighted_avg_price,total_transacted_quantity
2020-09,2022-04,6.610565832426551,459.5
2020-10,2022-04,6.837991539602007,735.19
2020-11,2022-04,6.553549067422394,151.73000000000002
2020-12,2022-04,8.001397214349339,308.725
2021-01,2022-04,6.579819144243494,226.7
2021-02,2022-04,7.354166666666667,240.0
2021-03,2022-04,7.559984214680347,50.68
2021-04,2022-04,8.14222833562586,159.94
2021-05,2022-04,7.904411764705882,68.0
2021-06,2022-04,6.309251968503937,254.0
2021-07,2022-04,7.4103742305540035,357.4
2021-08,2022-04,6.7893330714685645,234.3296
2021-09,2022-04,8.430107939363477,377.99
2021-10,2022-04,8.07636494602846,822.6095
2021-11,2022-04,5.15681275575627,183.4999
2021-12,2022-04,6.524249996290408,1698.84
2022-01,2022-04,5.122895622895623,190.08
2022-02,2022-04,4.0,66.0003
2022-03,2022-04,9.5,13.09
2022-04,2022-04,7.472455018241761,597.53
2022-05,2022-04,,
2022-06,2022-04,,
2022-07,2022-04,,
2022-08,2022-04,,
2022-09,2022-04,,
2022-10,2022-04,,
2022-11,2022-04,,
2022-12,2022-04,,
2023-01,2022-04,,
2023-02,2022-04,,
2023-03,2022-04,,
2023-04,2022-04,,
2023-05,2022-04,,
2023-06,2022-04,,
2023-07,2022-04,,
2023-08,2022-04,,
2023-09,2022-04,,
2023-10,2022-04,,
2023-11,2022-04,,
2023-12,2022-04,,
2024-01,2022-04,,
2024-02,2022-04,,
2024-03,2022-04,,
2024-04,2022-04,,
2024-05,2022-04,,
2024-06,2022-04,,
2024-07,2022-04,,
2024-08,2022-04,,
2024-09,2022-04,,
2024-10,2022-04,,
2024-11,2022-04,,
2024-12,2022-04,,
2013-01,2022-05,,
2013-02,2022-05,,
2013-03,2022-05,,
2013-04,2022-05,,
2013-05,2022-05,,
2013-06,2022-05,,
2013-07,2022-05,,
2013-08,2022-05,,
2013-09,2022-05,,
2013-10,2022-05,,
2013-11,2022-05,,
2013-12,2022-05,,
2014-01,2022-05,,
2014-02,2022-05,,
2014-03,2022-05,,
2014-04,2022-05,,
2014-05,2022-05,,
2014-06,2022-05,,
2014-07,2022-05,,
2014-08,2022-05,,
2014-09,2022-05,,
2014-10,2022-05,3.3333333,64.0
2014-11,2022-05,,
2014-12,2022-05,,
2015-01,2022-05,,
2015-02,2022-05,,
2015-03,2022-05,,
2015-04,2022-05,,
2015-05,2022-05,,
2015-06,2022-05,12.246554,527.5
2015-07,2022-05,,
2015-08,2022-05,,
2015-09,2022-05,,
2015-10,2022-05,6.39,137.0
2015-11,2022-05,,
2015-12,2022-05,,
2016-01,2022-05,,
2016-02,2022-05,,
2016-03,2022-05,,
2016-04,2022-05,,
2016-05,2022-05,,
2016-06,2022-05,,
2016-07,2022-05,,
2016-08,2022-05,,
2016-09,2022-05,13.23,15.0
2016-10,2022-05,,
2016-11,2022-05,,
2016-12,2022-05,,
2017-01,2022-05,,
2017-02,2022-05,,
2017-03,2022-05,,
2017-04,2022-05,,
2017-05,2022-05,,
2017-06,2022-05,,
2017-07,2022-05,,
2017-08,2022-05,,
2017-09,2022-05,,
2017-10,2022-05,,
2017-11,2022-05,,
2017-12,2022-05,,
2018-01,2022-05,,
2018-02,2022-05,,
2018-03,2022-05,3.25,330.0
2018-04,2022-05,4.5,100.0
2018-05,2022-05,3.25,25.0
2018-06,2022-05,,
2018-07,2022-05,,
2018-08,2022-05,,
2018-09,2022-05,,
2018-10,2022-05,,
2018-11,2022-05,,
2018-12,2022-05,,
2019-01,2022-05,,
2019-02,2022-05,,
2019-03,2022-05,4.5,20.0002
2019-04,2022-05,3.25,85.72
2019-05,2022-05,4.098043130990416,1252.0
2019-06,2022-05,5.764705882352941,680.0
2019-07,2022-05,5.905101965418734,244.9997
2019-08,2022-05,5.990303266874849,1665.2
2019-09,2022-05,6.001790522919558,334.9999
2019-10,2022-05,12.813169189318014,2023.6986
2019-11,2022-05,7.9766094898641136,897.8
2019-12,2022-05,5.0,30.0
