period,weighted_avg_price,total_transacted_quantity,total_std_qty,total_tx_qty,avg_std_price,num_trades,lag_1,lag_2,lag_3,lag_4,month,year,target_1,target_2
2014-11,3.0113820951219514,0.0,0.0,0.0,0.0,0.0,3.0203251841463414,3.029268273170732,3.038211362195122,3.0471544512195123,11,2014,3.002439006097561,2.993495917073171
2014-11,3.002439006097561,0.0,0.0,0.0,0.0,0.0,3.0113820951219514,3.0203251841463414,3.029268273170732,3.038211362195122,11,2014,2.993495917073171,2.9845528280487805
2014-11,2.993495917073171,0.0,0.0,0.0,0.0,0.0,3.002439006097561,3.0113820951219514,3.0203251841463414,3.029268273170732,11,2014,2.9845528280487805,2.9756097390243905
2014-11,2.9845528280487805,0.0,0.0,0.0,0.0,0.0,2.993495917073171,3.002439006097561,3.0113820951219514,3.0203251841463414,11,2014,2.9756097390243905,2.96666665
2014-11,2.9756097390243905,0.0,0.0,0.0,0.0,0.0,2.9845528280487805,2.993495917073171,3.002439006097561,3.0113820951219514,11,2014,2.96666665,2.9577235609756096
2014-11,2.96666665,0.0,0.0,0.0,0.0,0.0,2.9756097390243905,2.9845528280487805,2.993495917073171,3.002439006097561,11,2014,2.9577235609756096,2.9487804719512196
2014-11,2.9577235609756096,0.0,0.0,0.0,0.0,0.0,2.96666665,2.9756097390243905,2.9845528280487805,2.993495917073171,11,2014,2.9487804719512196,2.9398373829268296
2014-11,2.9487804719512196,0.0,0.0,0.0,0.0,0.0,2.9577235609756096,2.96666665,2.9756097390243905,2.9845528280487805,11,2014,2.9398373829268296,2.930894293902439
2014-11,2.9398373829268296,0.0,0.0,0.0,0.0,0.0,2.9487804719512196,2.9577235609756096,2.96666665,2.9756097390243905,11,2014,2.930894293902439,2.9219512048780487
2014-11,2.930894293902439,0.0,0.0,0.0,0.0,0.0,2.9398373829268296,2.9487804719512196,2.9577235609756096,2.96666665,11,2014,2.9219512048780487,2.9130081158536587
2014-11,2.9219512048780487,0.0,0.0,0.0,0.0,0.0,2.930894293902439,2.9398373829268296,2.9487804719512196,2.9577235609756096,11,2014,2.9130081158536587,2.9040650268292683
